datetime,DNI,Temperatura,Viento,Humedad,COLCA_SOLAR
2023-01-01 00:00:00,0.0,6.32,1.08,7.78,0.0
2023-01-01 01:00:00,0.0,6.03,1.15,7.7,0.0
2023-01-01 02:00:00,0.0,6.03,1.02,7.52,0.0
2023-01-01 03:00:00,0.0,6.07,0.97,7.33,0.0
2023-01-01 04:00:00,0.0,5.76,0.65,7.22,0.0
2023-01-01 05:00:00,0.0,5.35,0.13,7.05,0.0
2023-01-01 06:00:00,0.0,5.41,0.7,6.82,0.01625
2023-01-01 07:00:00,0.0,6.45,1.17,6.72,0.107
2023-01-01 08:00:00,0.73,8.23,1.1,6.81,0.21375
2023-01-01 09:00:00,1.75,9.69,0.82,6.73,0.3695
2023-01-01 10:00:00,23.81,11.87,1.45,6.76,0.4625
2023-01-01 11:00:00,27.05,14.01,3.2,6.89,0.58275
2023-01-01 12:00:00,27.82,15.18,5.01,7.19,0.7827500000000001
2023-01-01 13:00:00,52.83,14.96,5.79,7.52,0.73775
2023-01-01 14:00:00,77.94,13.61,5.46,7.71,0.75275
2023-01-01 15:00:00,166.13,11.93,4.49,7.75,0.5265
2023-01-01 16:00:00,109.48,10.51,3.63,7.71,0.35525
2023-01-01 17:00:00,60.21,9.28,2.82,7.75,0.0595
2023-01-01 18:00:00,0.0,8.43,1.96,7.79,0.01625
2023-01-01 19:00:00,0.0,8.27,1.39,7.74,0.0
2023-01-01 20:00:00,0.0,8.17,1.25,7.72,0.0
2023-01-01 21:00:00,0.0,7.7,0.96,7.75,0.0
2023-01-01 22:00:00,0.0,7.48,0.99,7.72,0.0
2023-01-01 23:00:00,0.0,7.11,0.95,7.68,0.0
2023-01-02 00:00:00,0.0,6.66,1.05,7.63,0.0
2023-01-02 01:00:00,0.0,6.45,1.06,7.6,0.0
2023-01-02 02:00:00,0.0,6.45,0.99,7.56,0.0
2023-01-02 03:00:00,0.0,6.51,0.88,7.52,0.0
2023-01-02 04:00:00,0.0,6.38,0.78,7.46,0.0
2023-01-02 05:00:00,0.0,6.48,0.62,7.37,0.0
2023-01-02 06:00:00,109.86,7.91,0.65,7.26,0.025750000000000002
2023-01-02 07:00:00,384.12,11.47,1.92,6.84,0.095
2023-01-02 08:00:00,577.2,14.15,3.14,6.69,0.41300000000000003
2023-01-02 09:00:00,688.47,15.96,4.18,6.76,0.878
2023-01-02 10:00:00,513.34,16.96,5.01,7.0,1.039
2023-01-02 11:00:00,578.37,16.78,5.4,7.4,1.1412499999999999
2023-01-02 12:00:00,850.99,16.18,5.39,7.75,1.20075
2023-01-02 13:00:00,1104.28,15.29,5.44,7.96,0.7135
2023-01-02 14:00:00,270.67,13.76,5.31,8.1,0.2045
2023-01-02 15:00:00,0.0,12.05,4.63,8.13,0.16375
2023-01-02 16:00:00,3.37,10.41,3.51,8.0,0.239
2023-01-02 17:00:00,0.0,9.05,2.62,7.87,0.1585
2023-01-02 18:00:00,0.0,7.92,1.87,7.77,0.013250000000000001
2023-01-02 19:00:00,0.0,7.56,1.04,7.64,0.0
2023-01-02 20:00:00,0.0,7.26,0.97,7.35,0.0
2023-01-02 21:00:00,0.0,7.29,0.98,7.2,0.0
2023-01-02 22:00:00,0.0,7.18,1.15,7.21,0.0
2023-01-02 23:00:00,0.0,7.22,1.22,7.22,0.0
2023-01-03 00:00:00,0.0,7.48,0.81,7.18,0.0
2023-01-03 01:00:00,0.0,7.22,0.62,7.13,0.0
2023-01-03 02:00:00,0.0,7.01,0.63,7.07,0.0
2023-01-03 03:00:00,0.0,6.89,0.66,7.01,0.0
2023-01-03 04:00:00,0.0,6.92,0.81,6.97,0.0
2023-01-03 05:00:00,0.0,6.76,1.0,6.92,0.0
2023-01-03 06:00:00,72.83,8.24,1.27,6.9,0.04425
2023-01-03 07:00:00,198.12,11.8,0.58,7.38,0.11375
2023-01-03 08:00:00,273.28,14.64,2.5,7.76,0.406
2023-01-03 09:00:00,180.82,16.02,3.8,7.9,0.67125
2023-01-03 10:00:00,362.05,16.6,4.55,8.1,1.105
