datetime,DNI,Temperatura,Viento,Humedad,REPARTICION_ARCUS
2023-01-01 00:00:00,0.0,12.71,0.99,9.33,0.0
2023-01-01 01:00:00,0.0,12.51,1.07,9.24,0.0
2023-01-01 02:00:00,0.0,12.51,1.08,9.18,0.0
2023-01-01 03:00:00,0.0,12.58,0.86,9.15,0.0
2023-01-01 04:00:00,0.0,12.69,0.59,9.09,0.0
2023-01-01 05:00:00,13.1,12.87,0.45,9.08,0.0125
2023-01-01 06:00:00,122.96,14.19,1.0,9.01,1.4075
2023-01-01 07:00:00,463.37,16.22,2.64,9.09,5.42375
2023-01-01 08:00:00,471.64,18.27,4.34,9.21,9.9545
2023-01-01 09:00:00,374.69,19.59,5.67,9.44,14.03975
2023-01-01 10:00:00,280.57,20.29,6.42,9.75,13.5115
2023-01-01 11:00:00,307.85,20.3,6.61,10.07,12.50825
2023-01-01 12:00:00,220.93,20.09,6.66,10.23,9.867
2023-01-01 13:00:00,28.79,19.66,6.92,10.29,6.47675
2023-01-01 14:00:00,19.2,18.47,6.86,10.33,7.4085
2023-01-01 15:00:00,0.0,16.99,6.33,10.36,5.04775
2023-01-01 16:00:00,0.0,15.65,5.38,10.35,3.25075
2023-01-01 17:00:00,0.0,14.34,4.23,10.31,0.85925
2023-01-01 18:00:00,0.0,13.36,2.74,10.21,0.1105
2023-01-01 19:00:00,0.0,13.08,1.44,10.02,0.0
2023-01-01 20:00:00,0.0,13.24,1.29,9.83,0.0
2023-01-01 21:00:00,0.0,13.37,1.3,9.65,0.0
2023-01-01 22:00:00,0.0,13.43,0.59,9.6,0.0
2023-01-01 23:00:00,0.0,13.22,0.8,9.72,0.0
2023-01-02 00:00:00,0.0,12.89,1.2,9.85,0.0
2023-01-02 01:00:00,0.0,12.55,1.27,9.98,0.0
2023-01-02 02:00:00,0.0,12.42,1.11,10.05,0.0
2023-01-02 03:00:00,0.0,12.53,0.63,10.02,0.0
2023-01-02 04:00:00,0.0,12.39,0.35,9.97,0.0
2023-01-02 05:00:00,4.91,12.34,0.73,9.98,0.0
2023-01-02 06:00:00,63.6,13.81,1.28,9.88,1.157
2023-01-02 07:00:00,190.82,15.61,2.26,9.82,3.5637499999999998
2023-01-02 08:00:00,284.14,17.51,3.76,9.88,10.3525
2023-01-02 09:00:00,399.0,19.21,5.08,10.04,15.119
2023-01-02 10:00:00,509.62,20.07,5.85,10.25,17.06725
2023-01-02 11:00:00,401.49,20.46,5.9,10.42,18.37225
2023-01-02 12:00:00,293.45,20.83,5.85,10.5,17.856
2023-01-02 13:00:00,49.15,20.83,6.0,10.54,13.04775
2023-01-02 14:00:00,6.16,20.2,6.06,10.57,7.4982500000000005
2023-01-02 15:00:00,0.0,19.05,5.88,10.63,5.686
2023-01-02 16:00:00,0.0,17.54,5.28,10.71,4.0485
2023-01-02 17:00:00,1.26,15.93,4.3,10.83,1.8435
2023-01-02 18:00:00,0.0,14.62,3.06,10.97,0.1585
2023-01-02 19:00:00,0.0,14.17,2.07,11.01,0.0
2023-01-02 20:00:00,0.0,14.08,1.71,10.97,0.0
2023-01-02 21:00:00,0.0,13.97,1.45,10.95,0.0
2023-01-02 22:00:00,0.0,13.79,1.16,10.93,0.0
2023-01-02 23:00:00,0.0,13.49,1.12,10.91,0.0
2023-01-03 00:00:00,0.0,13.21,0.94,10.85,0.0
2023-01-03 01:00:00,0.0,12.87,0.63,10.78,0.0
2023-01-03 02:00:00,0.0,12.66,0.43,10.68,0.0
2023-01-03 03:00:00,0.0,12.68,0.73,10.55,0.0
2023-01-03 04:00:00,0.0,12.68,0.6,10.43,0.0
2023-01-03 05:00:00,6.96,12.92,0.4,10.27,0.0265
2023-01-03 06:00:00,135.93,14.49,0.61,10.15,1.3695
2023-01-03 07:00:00,313.2,16.59,2.28,10.14,6.069
2023-01-03 08:00:00,517.36,18.69,3.91,10.13,10.192499999999999
2023-01-03 09:00:00,527.95,20.42,5.17,10.2,14.2195
2023-01-03 10:00:00,599.04,21.46,6.34,10.38,17.1635
