datetime,DNI,Temperatura,Viento,Humedad,TACNA_SOLAR
2023-01-01 00:00:00,0.0,18.7,2.61,12.33,0.0
2023-01-01 01:00:00,0.0,18.55,2.36,12.35,0.0
2023-01-01 02:00:00,0.0,18.48,2.12,12.37,0.0
2023-01-01 03:00:00,0.0,18.46,2.03,12.38,0.0
2023-01-01 04:00:00,0.0,18.41,1.97,12.43,0.0
2023-01-01 05:00:00,34.5,18.51,2.05,12.47,3.1709050000000003
2023-01-01 06:00:00,344.74,19.41,2.85,12.38,14.860377499999998
2023-01-01 07:00:00,592.27,20.65,3.99,12.3,18.3391125
2023-01-01 08:00:00,610.94,22.15,4.65,12.28,19.42466
2023-01-01 09:00:00,540.08,23.22,5.07,12.26,19.79929
2023-01-01 10:00:00,567.74,24.25,5.11,12.22,19.95342
2023-01-01 11:00:00,470.63,25.08,5.32,12.16,19.92881
2023-01-01 12:00:00,272.06,25.42,5.6,12.11,18.5696775
2023-01-01 13:00:00,137.03,25.41,5.58,12.03,10.8836975
2023-01-01 14:00:00,107.08,24.96,5.46,11.93,9.998315
2023-01-01 15:00:00,10.63,24.25,5.19,11.79,4.5362175
2023-01-01 16:00:00,7.03,23.02,4.77,11.7,2.0896925
2023-01-01 17:00:00,2.55,21.79,3.98,11.71,0.42248250000000004
2023-01-01 18:00:00,0.0,20.82,3.13,11.74,0.0
2023-01-01 19:00:00,0.0,20.19,2.38,11.87,0.0
2023-01-01 20:00:00,0.0,19.73,1.66,12.07,0.0
2023-01-01 21:00:00,0.0,19.44,1.99,12.22,0.0
2023-01-01 22:00:00,0.0,19.2,2.53,12.29,0.0
2023-01-01 23:00:00,0.0,19.08,2.7,12.27,0.0
2023-01-02 00:00:00,0.0,19.04,2.2,12.22,0.0
2023-01-02 01:00:00,0.0,18.94,1.29,12.22,0.0
2023-01-02 02:00:00,0.0,18.7,2.05,12.37,0.0
2023-01-02 03:00:00,0.0,18.36,3.2,12.65,0.0
2023-01-02 04:00:00,0.0,18.4,3.79,12.76,0.0
2023-01-02 05:00:00,0.0,18.49,3.98,12.75,3.54974
